state1,state2,distance,estoque
Passo de Camaragibe,Arapiraca,1.275959364314836,75
Paulo Jacinto,Arapiraca,0.4839461313252652,75
Penedo,Arapiraca,0.5429441488453784,75
Piaçabuçu,Arapiraca,0.6912737058645863,75
Pilar,Arapiraca,0.7213550884136338,75
Pindoba,Arapiraca,0.4632230750771715,75
Piranhas,Arapiraca,1.1031112006446384,75
Poço das Trincheiras,Arapiraca,0.7638919191859069,75
Porto Calvo,Arapiraca,1.4474681226366897,75
Porto de Pedras,Arapiraca,1.489729369945773,75
Porto Real do Colégio,Arapiraca,0.4688059431637773,75
Quebrangulo,Arapiraca,0.4734116556222605,75
Rio Largo,Arapiraca,0.8530371031688597,75
Roteiro,Arapiraca,0.6880326780388983,75
Santa Luzia do Norte,Arapiraca,0.8517742013723174,75
Santana do Ipanema,Arapiraca,0.6937228473164841,75
Santana do Mundaú,Arapiraca,0.7308890240194476,75
São Brás,Arapiraca,0.4451595809023321,75
São José da Laje,Arapiraca,0.956587620943952,75
São José da Tapera,Arapiraca,0.7457215931193374,75
São Luís do Quitunde,Arapiraca,1.1825822146660454,75
São Miguel dos Campos,Arapiraca,0.5682207719531197,75
São Miguel dos Milagres,Arapiraca,1.3770265088853035,75
São Sebastião,Arapiraca,0.2103291438803287,75
Satuba,Arapiraca,0.8577850190396701,75
Senador Rui Palmeira,Arapiraca,0.8457010478565583,75
Tanque d'Arca,Arapiraca,0.3174600198411348,75
Taquarana,Arapiraca,0.1959995354617846,75
Teotônio Vilela,Arapiraca,0.3441082588767068,75
Traipu,Arapiraca,0.4057884605202029,75
União dos Palmares,Arapiraca,0.8623357778888473,75
Viçosa,Arapiraca,0.5673438899875202,75
Água Branca,Atalaia,1.92846545531562,81
Anadia,Atalaia,0.3353892615903572,81
Arapiraca,Atalaia,0.685745966713768,81
Atalaia,Atalaia,0.0,0
Barra de Santo Antônio,Atalaia,0.5246424414379948,81
Barra de São Miguel,Atalaia,0.3570806052447767,81
Batalha,Atalaia,1.1158848147336315,81
Belém,Atalaia,0.4745125016240789,81
Belo Monte,Atalaia,1.2988985421654429,81
Boca da Mata,Atalaia,0.2417664225785332,81
Branquinha,Atalaia,0.2564985620733149,81
Cacimbinhas,Atalaia,0.9728269944399742,81
Cajueiro,Atalaia,0.1679308536420222,81
Campestre,Atalaia,0.7982819611554345,81
Campo Alegre,Atalaia,0.4313008781939364,81
Campo Grande,Atalaia,0.8938535401476885,81
Canapi,Atalaia,1.6256905465328977,81
Capela,Atalaia,0.1072556798691689,81
Carneiros,Atalaia,1.354584009763211,81
Chã Preta,Atalaia,0.3681787005729084,81
Coité do Nóia,Atalaia,0.5708966577474207,81
Colônia Leopoldina,Atalaia,0.6636162271325029,81
Coqueiro Seco,Atalaia,0.2586112602935498,81
Coruripe,Atalaia,0.6420528539644955,81
Craíbas,Atalaia,0.7542683581941199,81
Delmiro Gouveia,Atalaia,1.979635694911544,81
Dois Riachos,Atalaia,1.0833203702928182,81
Estrela de Alagoas,Atalaia,0.7456313092827551,81
Feira Grande,Atalaia,0.766374994840028,81
Feliz Deserto,Atalaia,0.8392721714543967,81
Flexeiras,Atalaia,0.3888747021221823,81
Girau do Ponciano,Atalaia,0.8921372935917922,81
Ibateguara,Atalaia,0.5359625585780508,81
Igaci,Atalaia,0.6118352401677346,81
